Seconds,IcoFace,Stereopsis,6DoF,SpatialAudio,HighResolution,AltColour,EyeTrackingOrigin_X,EyeTrackingOrigin_Y,EyeTrackingOrigin_Z,EyeTrackingTarget_X,EyeTrackingTarget_Y,EyeTrackingTarget_Z,5/12/2023 2:23:30 PM
423.589241505,7,1,1,1,1,0,0.0946868,1.716742,-0.02691943,0.8422701,-0.3336518,0.4233883,5/12/2023 2:23:33 PM
423.616122442,7,1,1,1,1,0,0.0864588,1.716915,-0.01796042,0.847819,-0.3356658,0.410526,5/12/2023 2:23:33 PM
423.632901453,7,1,1,1,1,0,0.08621386,1.716662,-0.01729207,0.8398803,-0.3472373,0.4171663,5/12/2023 2:23:33 PM
423.659716088,7,1,1,1,1,0,0.08708271,1.716154,-0.0178654,0.8595873,-0.2988672,0.4144736,5/12/2023 2:23:33 PM
423.674730411,7,1,1,1,1,0,0.08909036,1.715802,-0.01965442,0.8409068,-0.3400209,0.4210244,5/12/2023 2:23:33 PM
423.688731713,7,1,1,1,1,0,0.090231,1.715724,-0.02080047,0.8434629,-0.3406061,0.4154011,5/12/2023 2:23:33 PM
423.713333223,7,1,1,1,1,0,0.09579532,1.715044,-0.02612776,0.8434424,-0.3192638,0.43206,5/12/2023 2:23:33 PM
423.728184317,57,1,1,1,1,0,0.09592187,1.714833,-0.02611271,0.8492746,-0.3002925,0.4342317,5/12/2023 2:23:33 PM
423.756117546,57,1,1,1,1,0,0.09557482,1.714673,-0.02511912,0.7870668,-0.2838698,0.5476713,5/12/2023 2:23:33 PM
423.771102234,57,1,1,1,1,0,0.08148611,1.715803,-0.01088941,0.722811,-0.2571307,0.6414266,5/12/2023 2:23:33 PM
423.800168275,58,1,1,1,1,0,0.06865047,1.71647,0.0008391687,0.5637597,-0.24233,0.7895893,5/12/2023 2:23:33 PM
423.812328432,58,1,1,1,1,0,0.06820785,1.716434,0.001116222,0.5585013,-0.2434699,0.7929683,5/12/2023 2:23:33 PM
423.839584994,58,1,1,1,1,0,0.0750482,1.715262,-0.00615899,0.4846801,-0.2553322,0.8365948,5/12/2023 2:23:33 PM
423.853342911,58,1,1,1,1,0,0.08965356,1.713904,-0.01928218,0.4558807,-0.242761,0.8562943,5/12/2023 2:23:33 PM
423.867920307,58,1,1,1,1,0,0.09527063,1.713315,-0.02414587,0.4683851,-0.2361644,0.8513765,5/12/2023 2:23:33 PM
423.895896973,11,1,1,1,1,0,0.09819389,1.712657,-0.02640368,0.4330689,-0.2382991,0.8692899,5/12/2023 2:23:33 PM
423.911651765,11,1,1,1,1,0,0.09920381,1.712473,-0.02704245,0.4342403,-0.2381549,0.8687449,5/12/2023 2:23:33 PM
423.937190098,11,1,1,1,1,0,0.08529304,1.713022,-0.01538839,0.4499235,-0.2489037,0.8576805,5/12/2023 2:23:33 PM
423.951491713,58,1,1,1,1,0,0.08462834,1.71314,-0.01497743,0.4573087,-0.2410552,0.8560147,5/12/2023 2:23:33 PM
423.979103015,58,1,1,1,1,0,0.07468278,1.713746,-0.00740102,0.4614989,-0.2469859,0.8520662,5/12/2023 2:23:33 PM
423.99302765,58,1,1,1,1,0,0.06922324,1.714283,-0.003598232,0.4620044,-0.2507027,0.8507056,5/12/2023 2:23:33 PM
424.008681921,58,1,1,1,1,0,0.06366491,1.714501,0.0001626458,0.4630446,-0.2430694,0.8523538,5/12/2023 2:23:33 PM
424.034430515,11,1,1,1,1,0,0.06534176,1.714421,-0.001851868,0.3471985,-0.2803132,0.8949177,5/12/2023 2:23:33 PM
424.049236921,11,1,1,1,1,0,0.06700338,1.714249,-0.003267375,0.3406859,-0.2695155,0.9007189,5/12/2023 2:23:33 PM
424.078875723,11,1,1,1,1,0,0.08064237,1.7134,-0.01259532,0.3347189,-0.256706,0.9066782,5/12/2023 2:23:33 PM
424.090105411,11,1,1,1,1,0,0.07984056,1.713402,-0.01215007,0.325755,-0.2608364,0.9087619,5/12/2023 2:23:33 PM
424.116339213,11,1,1,1,1,0,0.07823002,1.713576,-0.01128262,0.326141,-0.2729762,0.9050503,5/12/2023 2:23:33 PM
424.13211114,11,1,1,1,1,0,0.07740966,1.713647,-0.01094097,0.3326181,-0.2653164,0.9049709,5/12/2023 2:23:33 PM
424.160318952,11,1,1,1,1,0,0.0601802,1.714527,-0.001424936,0.3354215,-0.246383,0.9092788,5/12/2023 2:23:33 PM
424.175848744,11,1,1,1,1,0,0.05809931,1.714707,-0.0004242628,0.3339385,-0.2730786,0.9021714,5/12/2023 2:23:33 PM
424.189437442,11,1,1,1,1,0,0.05229893,1.714749,0.002381919,0.3456175,-0.2614278,0.9012237,5/12/2023 2:23:33 PM
424.214576869,11,1,1,1,1,0,0.04200914,1.715111,0.006991218,0.3381963,-0.2625398,0.9037124,5/12/2023 2:23:33 PM
424.231920879,11,1,1,1,1,0,0.04044021,1.714851,0.007249664,0.3241516,-0.2641648,0.9083737,5/12/2023 2:23:33 PM
424.259205202,6,1,1,1,1,0,0.04306743,1.714489,0.004331935,0.02845594,-0.3039373,0.952267,5/12/2023 2:23:33 PM
424.272254213,6,1,1,1,1,0,0.06368288,1.713993,-0.004471613,-0.07222448,-0.286684,0.9552988,5/12/2023 2:23:33 PM
424.297785515,60,1,1,1,1,0,0.05781255,1.71413,-0.002462653,-0.2176147,-0.3195368,0.9222473,5/12/2023 2:23:33 PM
424.312271348,60,1,1,1,1,0,0.05635468,1.714123,-0.001829024,-0.2381378,-0.321353,0.9165275,5/12/2023 2:23:33 PM
424.340685515,60,1,1,1,1,0,0.05442147,1.714207,-0.001167153,-0.252273,-0.2875893,0.9239323,5/12/2023 2:23:33 PM
424.354568484,60,1,1,1,1,0,0.04882197,1.714417,0.0006164677,-0.2374215,-0.3111016,0.9202428,5/12/2023 2:23:33 PM
424.368872546,60,1,1,1,1,0,0.0504659,1.714299,0.0003747185,-0.2279992,-0.3186949,0.9200271,5/12/2023 2:23:33 PM
424.397310202,60,1,1,1,1,0,0.0475397,1.714462,0.001627838,-0.2332078,-0.3076441,0.9224799,5/12/2023 2:23:33 PM
424.41326614,60,1,1,1,1,0,0.04549448,1.714524,0.002179207,-0.2578913,-0.3092014,0.9153615,5/12/2023 2:23:33 PM
424.440765411,60,1,1,1,1,0,0.04242921,1.714329,0.002615494,-0.3684324,-0.2802919,0.8863938,5/12/2023 2:23:33 PM
424.451918223,60,1,1,1,1,0,0.04214632,1.714432,0.002951815,-0.4126467,-0.3074536,0.8574352,5/12/2023 2:23:33 PM
424.47893739,61,1,1,1,1,0,0.0389662,1.714601,0.003843933,-0.4368011,-0.3326511,0.8357919,5/12/2023 2:23:33 PM
424.492800619,61,1,1,1,1,0,0.03392378,1.714628,0.003929684,-0.4400753,-0.3109483,0.8424042,5/12/2023 2:23:33 PM
424.509891869,61,1,1,1,1,0,0.03391192,1.714629,0.004220031,-0.4389267,-0.3020681,0.8462259,5/12/2023 2:23:33 PM
424.535058379,60,1,1,1,1,0,0.02832242,1.714814,0.004426824,-0.3983884,-0.3256682,0.8574538,5/12/2023 2:23:33 PM
424.549472129,60,1,1,1,1,0,0.02684754,1.714797,0.004484945,-0.3790146,-0.3145316,0.8702976,5/12/2023 2:23:33 PM
424.577803483,60,1,1,1,1,0,0.02411767,1.71478,0.00452935,-0.3900963,-0.2943994,0.8724414,5/12/2023 2:23:33 PM
424.592046765,60,1,1,1,1,0,0.02259557,1.714071,0.004520798,-0.3763654,-0.3072127,0.8740535,5/12/2023 2:23:33 PM
424.617844108,60,1,1,1,1,0,-0.01874492,1.712957,-0.001708784,-0.2206929,-0.4399799,0.8704668,5/12/2023 2:23:33 PM
424.633722338,60,1,1,1,1,0,0.007669126,1.712838,0.02633107,-0.1692392,-0.118132,0.9784697,5/12/2023 2:23:33 PM
424.648282911,60,1,1,1,1,0,0.005877812,1.712622,0.02594543,-0.1786684,-0.1199433,0.9765711,5/12/2023 2:23:33 PM
424.676116817,60,1,1,1,1,0,0.003422911,1.712686,0.02556896,-0.1966767,-0.1226369,0.9727684,5/12/2023 2:23:33 PM
424.689616348,60,1,1,1,1,0,0.002102615,1.712645,0.02562249,-0.2044266,-0.1236095,0.9710461,5/12/2023 2:23:33 PM
424.714728796,60,1,1,1,1,0,0.01186086,1.714046,0.004197909,-0.3594054,-0.3532125,0.8637527,5/12/2023 2:23:33 PM
424.731336192,60,1,1,1,1,0,0.009559984,1.713861,0.004106696,-0.3854997,-0.3130382,0.8679845,5/12/2023 2:23:33 PM
424.7613589,60,1,1,1,1,0,0.01205926,1.713859,0.005168393,-0.3675474,-0.2963279,0.8815321,5/12/2023 2:23:33 PM
424.772562754,60,1,1,1,1,0,-0.01354255,1.712723,-0.001076267,-0.354894,-0.3063177,0.8833004,5/12/2023 2:23:33 PM
424.799818379,60,1,1,1,1,0,-0.02751336,1.712108,-0.004585703,-0.3312095,-0.2897553,0.8979656,5/12/2023 2:23:33 PM
424.813404681,60,1,1,1,1,0,-0.02808552,1.71207,-0.004701393,-0.3351217,-0.2870969,0.8973677,5/12/2023 2:23:33 PM
424.82831989,60,1,1,1,1,0,-0.02875923,1.711886,-0.004944788,-0.3359928,-0.2881898,0.8966914,5/12/2023 2:23:33 PM
424.855093379,60,1,1,1,1,0,-0.02966109,1.711552,-0.005185859,-0.3366323,-0.2824495,0.8982767,5/12/2023 2:23:33 PM
424.869111452,60,1,1,1,1,0,-0.02967586,1.711459,-0.005138004,-0.3336568,-0.2797795,0.9002203,5/12/2023 2:23:33 PM
424.897468119,60,1,1,1,1,0,-0.02878119,1.711041,-0.004793908,-0.3289239,-0.2863125,0.8999079,5/12/2023 2:23:33 PM
424.911763379,60,1,1,1,1,0,-0.0289371,1.710967,-0.004726931,-0.3285169,-0.2869353,0.8998582,5/12/2023 2:23:33 PM
424.937578848,60,1,1,1,1,0,-0.02286671,1.710826,-0.002855707,-0.332056,-0.290738,0.8973351,5/12/2023 2:23:33 PM
424.952115827,60,1,1,1,1,0,-0.02184567,1.710781,-0.002492621,-0.3308096,-0.2811756,0.9008359,5/12/2023 2:23:33 PM
